"","id","test_day","subage","test_date","task","trial","correct"
"1","Vp1","1","3","2019-11-13","training","1",1
"2","Vp1","1","3","2019-11-13","training","2",1
"3","Vp1","1","3","2019-11-13","preference","1",1
"4","Vp1","1","3","2019-11-13","preference","2",1
"5","Vp1","1","3","2019-11-13","preference","3",1
"6","Vp1","1","3","2019-11-13","preference","4",1
"7","Vp1","1","3","2019-11-13","preference","5",1
"8","Vp1","1","3","2019-11-14","informativeness","1",1
"9","Vp1","1","3","2019-11-14","informativeness","2",0
"10","Vp1","1","3","2019-11-14","informativeness","3",0
"11","Vp1","1","3","2019-11-14","informativeness","4",1
"12","Vp1","1","3","2019-11-14","informativeness","5",0
"13","Vp1","1","3","2019-11-14","mutual_exclusivity","1",1
"14","Vp1","1","3","2019-11-14","mutual_exclusivity","2",0
"15","Vp1","1","3","2019-11-14","mutual_exclusivity","3",1
"16","Vp1","1","3","2019-11-14","mutual_exclusivity","4",1
"17","Vp1","1","3","2019-11-14","mutual_exclusivity","5",1
"18","Vp1","1","3","2019-11-14","novelty","1",0
"19","Vp1","1","3","2019-11-14","novelty","2",1
"20","Vp1","1","3","2019-11-14","novelty","3",1
"21","Vp1","1","3","2019-11-14","novelty","4",1
"22","Vp1","1","3","2019-11-14","novelty","5",1
"23","Vp1","1","3","2019-11-14","card_sorting","1",0
"24","Vp1","1","3","2019-11-14","card_sorting","2",0
"25","Vp1","1","3","2019-11-14","card_sorting","3",0
"26","Vp1","1","3","2019-11-14","card_sorting","4",0
"27","Vp1","1","3","2019-11-14","card_sorting","5",0
"28","Vp1","1","3","2019-11-14","card_sorting","6",0
"29","Vp2","1","3","2019-11-14","training","1",1
"30","Vp2","1","3","2019-11-14","training","2",1
"31","Vp2","1","3","2019-11-14","preference","1",1
"32","Vp2","1","3","2019-11-14","preference","2",0
"33","Vp2","1","3","2019-11-14","preference","3",1
"34","Vp2","1","3","2019-11-14","preference","4",0
"35","Vp2","1","3","2019-11-14","preference","5",0
"36","Vp2","1","3","2019-11-14","informativeness","1",1
"37","Vp2","1","3","2019-11-14","informativeness","2",1
"38","Vp2","1","3","2019-11-14","informativeness","3",0
"39","Vp2","1","3","2019-11-14","informativeness","4",1
"40","Vp2","1","3","2019-11-14","informativeness","5",0
"41","Vp2","1","3","2019-11-14","mutual_exclusivity","1",0
"42","Vp2","1","3","2019-11-14","mutual_exclusivity","2",0
"43","Vp2","1","3","2019-11-14","mutual_exclusivity","3",0
"44","Vp2","1","3","2019-11-14","mutual_exclusivity","4",1
"45","Vp2","1","3","2019-11-14","mutual_exclusivity","5",0
"46","Vp2","1","3","2019-11-14","novelty","1",1
"47","Vp2","1","3","2019-11-14","novelty","2",1
"48","Vp2","1","3","2019-11-14","novelty","3",1
"49","Vp2","1","3","2019-11-14","novelty","4",1
"50","Vp2","1","3","2019-11-14","novelty","5",1
"51","Vp2","1","3","2019-11-14","card_sorting","1",0
"52","Vp2","1","3","2019-11-14","card_sorting","2",0
"53","Vp2","1","3","2019-11-14","card_sorting","3",0
"54","Vp2","1","3","2019-11-14","card_sorting","4",0
"55","Vp2","1","3","2019-11-14","card_sorting","5",0
"56","Vp2","1","3","2019-11-14","card_sorting","6",0
"57","Vp3","1","4","2019-11-14","training","1",1
"58","Vp3","1","4","2019-11-14","training","2",1
"59","Vp3","1","4","2019-11-14","preference","1",1
"60","Vp3","1","4","2019-11-14","preference","2",1
"61","Vp3","1","4","2019-11-14","preference","3",1
"62","Vp3","1","4","2019-11-14","preference","4",1
"63","Vp3","1","4","2019-11-14","preference","5",1
"64","Vp3","1","4","2019-11-14","informativeness","1",0
"65","Vp3","1","4","2019-11-14","informativeness","2",0
"66","Vp3","1","4","2019-11-14","informativeness","3",1
"67","Vp3","1","4","2019-11-14","informativeness","4",0
"68","Vp3","1","4","2019-11-14","informativeness","5",1
"69","Vp3","1","4","2019-11-14","mutual_exclusivity","1",1
"70","Vp3","1","4","2019-11-14","mutual_exclusivity","2",1
"71","Vp3","1","4","2019-11-14","mutual_exclusivity","3",1
"72","Vp3","1","4","2019-11-14","mutual_exclusivity","4",1
"73","Vp3","1","4","2019-11-14","mutual_exclusivity","5",1
"74","Vp3","1","4","2019-11-14","novelty","1",1
"75","Vp3","1","4","2019-11-14","novelty","2",1
"76","Vp3","1","4","2019-11-14","novelty","3",1
"77","Vp3","1","4","2019-11-14","novelty","4",1
"78","Vp3","1","4","2019-11-14","novelty","5",1
"79","Vp3","1","4","2019-11-14","card_sorting","1",0
"80","Vp3","1","4","2019-11-14","card_sorting","2",0
"81","Vp3","1","4","2019-11-14","card_sorting","3",1
"82","Vp3","1","4","2019-11-14","card_sorting","4",1
"83","Vp3","1","4","2019-11-14","card_sorting","5",1
"84","Vp3","1","4","2019-11-14","card_sorting","6",1
"85","Vp4","1","3","2019-11-14","training","1",1
"86","Vp4","1","3","2019-11-14","training","2",1
"87","Vp4","1","3","2019-11-14","preference","1",1
"88","Vp4","1","3","2019-11-14","preference","2",0
"89","Vp4","1","3","2019-11-14","preference","3",0
